Obsid,Beam,c2_good,c1_good,c0_good,c2_ok,c1_ok,c0_ok,all_good,all_ok,all_good_ok,rms_c2,rms_c1,rms_c0,lgfrac_c2,lgfrac_c1,lgfrac_c0,prom_c2,prom_c1,prom_c0
190808041,28,1,1,1,0,0,0,1,0,1,0.0015954882,0.0015761639,0.0016221007,-5.8569703,-5.768244,-5.547457,4.2392087,4.2693853,4.2980027
190808041,29,1,1,1,0,0,0,1,0,1,0.0014548955,0.0015015993,0.0015512108,-6.041836,-5.7520285,-6.053542,4.2264466,4.2811494,4.218033
190808041,31,1,1,1,0,0,0,1,0,1,0.0015386404,0.0015810172,0.0016340791,-5.957515,-5.7925124,-5.8824716,4.267828,4.32339,4.3331676
190808041,32,1,1,1,0,0,0,1,0,1,0.002451187,0.0025636826,0.0026949358,-5.700623,-5.548762,-5.812649,4.2915936,4.3513103,4.318926
190808041,33,1,1,1,0,0,0,1,0,1,0.0021586537,0.0020988777,0.002113376,-5.9761567,-5.5306344,-5.941909,4.246056,4.3325825,4.255824
190808041,34,1,1,1,0,0,0,1,0,1,0.001727011,0.0017933076,0.0017984711,-6.0330615,-5.550188,-5.941909,4.2570367,4.320247,4.2442365
190808041,35,1,1,1,0,0,0,1,0,1,0.0015853486,0.0016262053,0.0016764617,-6.0118723,-5.661994,-5.953647,4.270735,4.2970505,4.2818155
190808041,36,0,0,0,0,0,0,0,0,0,0.0019242516,0.0019398847,0.001981236,-3.4644861,-3.447393,-3.4350226,4.521684,4.4373593,4.379705
190808041,38,1,0,1,0,0,0,0,0,0,0.0018243985,0.0019431261,0.0019538018,-5.8316646,-4.1033874,-5.8724875,4.3096027,4.867432,4.310569
190808041,39,1,1,1,0,0,0,1,0,1,0.002973071,0.0027927742,0.0029291934,-5.621442,-5.5874577,-5.5451283,4.347972,4.323125,4.250948
190809041,0,1,1,1,0,0,0,1,0,1,0.001454307,0.001510009,0.0015531707,-6.069274,-5.90921,-5.941909,4.284339,4.257028,4.2593784
190809041,2,0,0,0,0,0,0,0,0,0,0.0041051093,0.0039927815,0.004346934,-3.4762166,-4.1092997,-3.44859,6.353603,5.9781346,6.6902432
190809041,3,1,1,1,0,0,0,1,0,1,0.0014807414,0.0015585,0.001599988,-6.055338,-5.7191944,-6.01079,4.1999426,4.269453,4.2215805
190809041,4,1,1,1,0,0,0,1,0,1,0.0015447284,0.0016144231,0.0017190971,-5.8569703,-5.698608,-5.978121,4.2547846,4.276247,4.2673407
190809041,6,1,1,1,0,0,0,1,0,1,0.0019427444,0.0020520354,0.002108944,-5.8777256,-5.582813,-5.941909,4.2634735,4.306105,4.2759585
190809041,7,0,0,0,0,0,0,0,0,0,0.002874587,0.0028338372,0.0028549435,-4.414909,-4.0218296,-3.8520977,4.3726206,4.406849,4.4448814
190809041,8,0,0,0,0,0,1,0,0,0,0.0024965922,0.0026569692,0.0027774284,-3.8838735,-4.2956305,-4.59037,4.6059833,4.531154,4.602389
190809041,9,0,0,0,0,0,0,0,0,0,0.002756185,0.0031524121,0.0031952776,-3.924632,-3.8835654,-3.9154572,4.2766623,4.1760964,4.151
190809041,10,1,1,1,0,0,0,1,0,1,0.0013929256,0.0014542993,0.0015129779,-5.890047,-5.810345,-5.897892,4.2279415,4.2544456,4.249
190809041,11,1,1,1,0,0,0,1,0,1,0.001433155,0.0014937585,0.0015501713,-5.8687086,-5.787549,-6.038819,4.2686505,4.2759423,4.230152
190809041,12,1,1,1,0,0,0,1,0,1,0.0022171328,0.0022803412,0.0023400427,-5.9877386,-5.859875,-5.919343,4.254397,4.276177,4.2635493
190809041,13,1,1,1,0,0,0,1,0,1,0.0025184797,0.0027568087,0.0028735024,-5.7363963,-5.743027,-5.908485,4.2846932,4.3111653,4.271986
190809041,14,0,1,1,1,0,0,0,0,1,0.0022733998,0.0023530836,0.002392496,-4.7895117,-5.790024,-5.81697,4.3896885,4.2914615,4.335539
190809041,15,0,0,1,0,0,0,0,0,0,0.0025456708,0.0022863278,0.0021325166,-4.139355,-4.4201717,-5.503103,4.2609615,4.2766423,4.2612133
190809041,16,1,1,1,0,0,0,1,0,1,0.0013929368,0.0014434647,0.0014868006,-6.041836,-5.946702,-5.9844613,4.2415223,4.2340436,4.2250624
190809041,18,1,1,1,0,0,0,1,0,1,0.0015508627,0.0016113259,0.001671267,-5.946702,-5.8316646,-6.01079,4.2836328,4.290513,4.2678065
190809041,19,1,1,1,0,0,0,1,0,1,0.0015731684,0.0016389654,0.0016660552,-5.8344045,-5.5751796,-5.8724875,4.259088,4.3303733,4.2633204
190809041,20,1,1,1,0,0,0,1,0,1,0.001753154,0.0018224625,0.0018830207,-5.3827543,-5.457874,-5.5451283,4.2939954,4.3406763,4.29907
190809041,21,0,1,1,1,0,0,0,0,1,0.0021357199,0.0019298987,0.0019897195,-4.991669,-5.6265216,-5.804133,4.592999,4.236824,4.104135
190809041,23,1,1,1,0,0,0,1,0,1,0.0013567507,0.0013971309,0.0014305272,-5.9059567,-5.9611797,-5.9596376,4.227908,4.255525,4.250492
190809041,24,1,1,1,0,0,0,1,0,1,0.0014944504,0.0015832905,0.0016274691,-6.1087823,-6.1299715,-6.0461183,4.1674943,4.2228804,4.2734127
190809041,25,1,1,1,0,0,0,1,0,1,0.0014198901,0.0014796355,0.0015239813,-5.9538803,-5.8628,-5.9304795,4.250541,4.276918,4.2487874
190809041,26,1,1,1,0,0,0,1,0,1,0.0015318163,0.0016097727,0.0016757192,-6.1757293,-5.7213078,-5.971872,4.166697,4.25887,4.218342
190809041,28,1,1,1,0,0,0,1,0,1,0.0014434403,0.0014451126,0.0014860418,-6.0118723,-5.925852,-5.615573,4.2581277,4.2483134,4.296824
190809041,29,1,1,1,0,0,0,1,0,1,0.0013848299,0.0014269749,0.0014657757,-6.0330615,-6.1299715,-6.100967,4.1914415,4.242697,4.200583
190809041,31,1,1,1,0,0,0,1,0,1,0.0014857263,0.001541693,0.001601989,-6.069274,-5.9686036,-6.0926943,4.227556,4.29372,4.2507057
190809041,32,0,0,0,0,0,0,0,0,0,0.002574169,0.002678048,0.0027923244,-3.7210531,-3.7370331,-3.7232332,4.509035,4.495961,4.4476557
190809041,33,1,1,1,0,0,0,1,0,1,0.0021222965,0.0023265579,0.0024723073,-5.9538803,-5.5375175,-5.6322784,4.229178,4.364668,4.3466463
190809041,34,1,1,1,0,0,0,1,0,1,0.0016069459,0.0016688675,0.0016797151,-6.003678,-5.929258,-5.9596376,4.2222815,4.2645435,4.252422
190809041,35,0,0,0,0,0,0,0,0,0,0.0019444735,0.0019137132,0.0018915324,-3.4569368,-3.4674377,-3.5278494,4.619279,4.552272,4.4589434
190809041,36,1,1,1,0,0,0,1,0,1,0.0015660675,0.0016122457,0.001657358,-6.1245766,-6.041836,-6.0245786,4.2069306,4.275788,4.2606244
190809041,37,1,1,1,0,0,0,1,0,1,0.0016402982,0.0017034763,0.0017576289,-6.0788193,-5.912488,-5.971872,4.227772,4.273285,4.24069
190809041,38,0,0,0,0,0,0,0,0,0,0.0020281859,0.0021436804,0.0021560723,-3.5826428,-3.541784,-3.5436676,4.3375945,4.732139,4.3328114
190809041,39,0,1,1,0,0,0,0,0,0,0.0029125058,0.0027465387,0.0029008044,-5.690639,-5.7520285,-5.91388,4.472075,4.3274455,4.2672334
190809042,0,0,0,0,0,0,0,0,0,0,0.0015137615,0.0015553524,0.0016035318,-3.8371344,-3.8928366,-3.9061322,4.2367773,4.246307,4.242181
190809042,1,0,1,1,0,0,0,0,0,0,0.002539557,0.0022237406,0.002222218,-3.5654914,-5.3600407,-5.9596376,5.4931507,4.3133,4.2644124
190809042,2,1,1,1,0,0,0,1,0,1,0.0017424086,0.0018081327,0.0018857904,-6.0374265,-5.90921,-5.9596376,4.2157226,4.2193165,4.262661
190809042,3,1,1,1,0,0,0,1,0,1,0.0015284165,0.0015798869,0.0016460527,-5.9611797,-5.874699,-5.8724875,4.2157125,4.2444215,4.2298193
190809042,4,1,1,1,0,0,0,1,0,1,0.0015409105,0.0015910881,0.0016410543,-5.995635,-5.999638,-6.053542,4.2229404,4.248359,4.2585735
190809042,6,1,1,1,0,0,0,1,0,1,0.0019001618,0.00199169,0.0020525786,-5.854085,-5.9059567,-5.81697,4.2566032,4.2722445,4.258902
190809042,7,0,0,0,0,0,0,0,0,0,0.0061937743,0.0047826953,0.0036534478,-4.77948,-3.923212,-5.6931186,4.671133,5.458864,4.3112593
