# Census of all observations
# manual assessment of number of good dishes
# and number of good beams (i.e., missed cals, clear bw issue)
# i am conservative with dishes - if there are sawtooth
# residual delays, i mark that as bad,
# presuming it might fail with reprocessing / ccal QA
# 
# Extra notes
# 20111034-201115001 heavily imapcted by RFI (beamweights? radar?)
# calibration / bandpass not super trustworthy
# Also 201116016 (not cals, but data itself). And same for latter in Nob
# Will do a separate RFI view (did some work on that before)
# 
taskID,name,goodtelescopes,n_goodbeams,processed
200731041,S2121+3622,2346789ABCD,40,True
200801041,S1226+3622,2346789ABCD,40,True
200801042,M0208+3130,2346789ABCD,40,True
200802041,S2121+3848,2346789ABCD,40,True
200803041,S1239+3622,2346789ABCD,40,True
200803042,M0208+3130,2346789ABCD,40,True
200804041,S2123+4114,2346789ACD,40,True
200805041,M1243+3130,2346789ACD,40,True
200805042,M0208+3356,2346789ACD,40,True
200806041,S2128+3356,2346789ABCD,40,True
200807041,M1256+3130,2346789ABCD,40,True
200814084,S2130+2904,23456789A,38,False
200815041,M1309+3130,23456789A,38,True
200815042,M0209+3622,23456789A,38,True
200820090,S1047+6041,23456789ABCD,40,True
200820091,S2233+2904,23456789ABCD,40,True
200821083,S1348+3622,23456789ABCD,40,True
200821084,M0209+3622,23456789ABCD,40,True
200822088,S2130+2904,23456789ABCD,40,True
200823086,M1309+3130,23456789ABCD,40,False
200823087,M0209+3622,23456789ABCD,40,False
200909118,S2220+2904,23456789ABCD,40,False
200910041,M1328+3356,23456789ABCD,40,True
200910042,S0221+3130,23456789ABCD,40,True
200911041,S2135+3130,23456789ABCD,40,True
200912041,S1326+5324,23456789ABCD,40,True
200912042,S0221+3356,23456789ABCD,40,True
200913041,S2207+2904,23456789ABCD,40,True
200917085,M0141+3622,23456789ABCD,40,True
200918081,M0142+3130,23456789ABCD,40,True
200919081,M0141+3356,23456789ABCD,40,True
200920081,M0208+3130,23456789ABCD,40,True
200921081,M0208+3356,23456789ABCD,40,True
200924167,M0142+3130,23456789ABCD,40,True
200925041,S1630+5550,23456789ABCD,40,True
200926001,S1044+5550,23456789ABCD,40,True
200926002,S2250+5058,23456789ABCD,40,True
200927041,S1349+3848,23456789ABCD,40,True
200927042,M0141+3356,23456789ABCD,40,True
200928041,S2307+5058,23456789ABCD,40,True
200929094,S2232+5058,23456789ABCD,40,True
200930045,M0141+3622,23456789ACD,40,True
201001041,S2310+5324,23456789ACD,40,True
201002041,S1415+3622,23456789ACD,40,True
201002042,M0142+3130,23456789ACD,40,True
201003041,S2324+3622,23456789ACD,40,True
201004041,S1429+3622,23456789ACD,40,True
201004042,M0208+3130,23456789ACD,40,True
201005041,S2325+4832,23456789ACD,40,True
201006041,S1418+3848,23456789ACD,40,True
201006042,M0208+3130,23456789ACD,40,True
201007041,S2324+5058,23456789ACD,40,True
201008041,S1432+3848,23456789ACD,40,True
201008042,M0208+3356,23456789ACD,40,True
201009046,S2328+3848,23456789ACD,40,True
201010041,S1518+5058,23456789ACD,40,True
201010042,S0234+4340,23456789ACD,40,True
201011041,S2328+5324,23456789ACD,40,True
201029084,M0142+3130,23456789ABCD,40,True
201031086,M0141+3622,23456789ABCD,40,True
201101085,M0141+3356,23456789ABCD,40,True
201102085,M0141+3622,23456789ABCD,40,True
201103084,M0208+3130,23456789ABCD,40,True
201104081,M0208+3356,23456789ACD,40,True
