timestamp,target_tid,target_name,cal1_tids,cal1_name,cal2_tids,cal2_name,beams,node,starttime,endtime,runtime,failures
1563777150.000300,190714041,S1444+5058,190714040-190714031,3C147,190715031-190715040,3C138,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-22 06:32:29.761329,,,
1563777151.000400,190714041,S1444+5058,190714020-190714011,3C147,190715011-190715020,3C138,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-22 06:32:30.813932,,,
1563875602.001300,190714041,S1444+5058,-,-,-,-,-,happili-03,-,2019-07-23 09:53:21.427017,"1 day, 3:20:51.557555",
1563878419.001500,190714041,S1444+5058,-,-,-,-,-,happili-02,-,2019-07-23 10:40:17.947829,"1 day, 4:07:46.243026",
1563879780.001700,190714041,S1444+5058,-,-,-,-,-,happili-04,-,2019-07-23 11:02:59.515910,"1 day, 4:30:28.975729",
1563880296.002000,190718124,S2146+4340,190718113-190718104,3C286,190719021-190719030,3C147,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-23 11:11:36.150462,,,
1563880536.002100,190714041,S1444+5058,-,-,-,-,-,happili-01,-,2019-07-23 11:15:35.733721,"1 day, 4:43:08.222829",
1563884914.002400,190718124,S2146+4340,190718103-190718094,3C286,190719011-190719020,3C147,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-23 12:28:34.128542,,,
1563900001.002700,190718124,S2146+4340,190718123-190718114,3C286,190719031-190719040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-23 16:40:01.541082,,,
1563908496.002800,190718124,S2146+4340,190718093-190718084,3C286,190719001-190719010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-23 19:01:36.622589,,,
1563988305.002900,190718124,S2146+4340,-,-,-,-,-,happili-03,-,2019-07-24 17:11:44.420031,"1 day, 6:00:06.348657",
1563988379.003100,190718124,S2146+4340,-,-,-,-,-,happili-02,-,2019-07-24 17:12:58.136149,"1 day, 4:44:22.469606",B014: FAILED on continuum
1563992576.003400,190719041,S1242+5058,190719020-190719011,3C147,190720011-190720020,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-24 18:22:56.205441,,,
1563995375.003600,190719041,S1242+5058,190719030-190719021,3C147,190720021-190720030,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-24 19:09:34.807730,,,
1564010294.003700,190718124,S2146+4340,-,-,-,-,-,happili-04,-,2019-07-24 23:18:14.153068,"1 day, 6:38:11.127681",B039: FAILED on crosscal
1564016644.004000,190719041,S1242+5058,190719040-190719031,3C147,190720031-190720040,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-25 01:04:04.574114,,,
1564017968.004100,190718124,S2146+4340,-,-,-,-,-,happili-01,-,2019-07-25 01:26:08.625199,"1 day, 6:24:30.384816",
1564022431.004400,190719041,S1242+5058,190719010-190719001,3C147,190720001-190720010,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-25 02:40:31.365009,,,
1564108056.004500,190719041,S1242+5058,-,-,-,-,-,happili-03,-,2019-07-26 02:27:36.184485,"1 day, 7:18:00.345634",
1564112566.004800,190719042,M0155+3130,190719030-190719021,3C147,190720021-190720030,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-26 03:42:45.939992,,,
1564112772.004900,190719041,S1242+5058,-,-,-,-,-,happili-02,-,2019-07-26 03:46:11.634547,"1 day, 9:23:13.438976",
1564117030.005200,190719042,M0155+3130,190719020-190719011,3C147,190720011-190720020,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-26 04:57:10.199911,,,
1564124576.005300,190719041,S1242+5058,-,-,-,-,-,happili-04,-,2019-07-26 07:02:55.983922,"1 day, 5:58:49.560557",B039: FAILED on crosscal
1564129181.006000,190719042,M0155+3130,190719040-190719031,3C147,190720031-190720040,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-26 08:19:41.030091,,,
1564130888.006100,190719041,S1242+5058,-,-,-,-,-,happili-01,-,2019-07-26 08:48:08.662161,"1 day, 6:07:36.198642","B005: FAILED on crosscal,scal,continuum,polarisation"
1564135381.006400,190719042,M0155+3130,190719010-190719001,3C147,190720001-190720010,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-26 10:03:00.904085,,,
1564223117.006500,190719042,M0155+3130,-,-,-,-,-,happili-03,-,2019-07-27 10:25:16.484650,"1 day, 6:42:28.643708",
1564232405.006800,190719042,M0155+3130,-,-,-,-,-,happili-02,-,2019-07-27 13:00:03.407071,"1 day, 8:02:51.532878",B015: FAILED on continuum
1564240596.007100,190719042,M0155+3130,-,-,-,-,-,happili-04,-,2019-07-27 15:16:35.941036,"1 day, 6:56:52.848973","B032: FAILED on continuum, B039: FAILED on crosscal"
1564248476.007400,190719042,M0155+3130,-,-,-,-,-,happili-01,-,2019-07-27 17:27:56.261770,"1 day, 7:24:54.308995",
1564779865.000100,190720041,S2336+2904,190720010-190720001,3C286,190721001-190721010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-02 21:04:24.749634,,,
1564779870.000200,190720041,S2336+2904,190720030-190720021,3C286,190721021-190721030,3C147,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-08-02 21:04:30.509897,,,
1564779871.000300,190720041,S2336+2904,190720040-190720031,3C286,190721031-190721040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-02 21:04:31.263950,,,
1564779871.000400,190720041,S2336+2904,190720020-190720011,3C286,190721011-190721020,3C147,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-08-02 21:04:31.435054,,,
1564871545.000100,190720041,S2336+2904,-,-,-,-,-,happili-03,-,2019-08-03 22:32:24.890634,"1 day, 1:27:53.591284",
1564873468.000100,190720041,S2336+2904,-,-,-,-,-,happili-04,-,2019-08-03 23:03:55.885993,"1 day, 1:59:22.142669","B039: FAILED on crosscal,scal,continuum"
1564876487.000100,190720041,S2336+2904,-,-,-,-,-,happili-01,-,2019-08-03 23:54:46.672027,"1 day, 2:50:21.056307",B001: FAILED on crosscal
1564876849.000400,190721041,S1426+5058,190721030-190721021,3C147,190722022-190722031,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-08-04 00:00:49.163112,,,
1564877959.000200,190721041,S1426+5058,190721040-190721031,3C147,190722032-190722041,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-04 00:19:18.945536,,,
1564878239.000300,190720041,S2336+2904,-,-,-,-,-,happili-02,-,2019-08-04 00:23:38.772621,"1 day, 3:19:06.371104",B014: FAILED on continuum
1564881295.000200,190721041,S1426+5058,190721010-190721001,3C147,190722002-190722011,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-04 01:14:55.209898,,,
1564882684.000200,190721041,S1426+5058,190721020-190721011,3C147,190722012-190722021,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-08-04 01:38:03.922056,,,
1564966233.000100,190721041,S1426+5058,-,-,-,-,-,happili-03,-,2019-08-05 00:50:32.558245,"1 day, 0:49:23.174522",
1564968425.000100,190721041,S1426+5058,-,-,-,-,-,happili-01,-,2019-08-05 01:27:05.014521,"1 day, 0:12:09.156017",B001: FAILED on crosscal
1564968425.000100,190721041,S1426+5058,-,-,-,-,-,happili-01,-,2019-08-05 01:27:05.014521,"1 day, 0:12:09.156017",B001: FAILED on crosscal
1564970958.000200,190722001,M0208+3130,190721030-190721021,3C147,190722022-190722031,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-08-05 02:09:18.074643,,,
1564973064.000200,190722001,M0208+3130,190721010-190721001,3C147,190722002-190722011,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-05 02:44:23.845142,,,
1564984439.000100,190721041,S1426+5058,-,-,-,-,-,happili-02,-,2019-08-05 05:53:58.505252,"1 day, 4:15:52.270535","B015: FAILED on scal, B018: FAILED on continuum"
1564988885.000200,190722001,M0208+3130,190721020-190721011,3C147,190722012-190722021,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-08-05 07:08:05.589007,,,
1564990274.000300,190721041,S1426+5058,-,-,-,-,-,happili-04,-,2019-08-05 07:31:12.972807,"1 day, 7:11:49.477476","B033: FAILED on continuum, B034: FAILED on scal, B039: FAILED on crosscal,scal,continuum"
1564995914.000600,190722001,M0208+3130,190721040-190721031,3C147,190722032-190722041,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-05 09:05:14.153890,,,
1565058501.000700,190722001,M0208+3130,-,-,-,-,-,happili-03,-,2019-08-06 02:28:20.857627,"1 day, 0:18:59.262471",
