taskid,beam,pass_V,pass_QU,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,s_in,s_out,rat,peak,peak_s,peak_in,N2,P2,Ex-2,Ex+2,ftmax,bmaj,bmin,bpa
190711169,15,True,False,1.0,1.0,1.0,1.0,43.2,41.1,1.05,2488.7,60.5,2488.7,1.1,1.1,840.0,834.0,5.5,22.2,12.1,0.1
190711169,16,True,False,1.0,1.0,1.0,1.0,55.4,52.5,1.06,1141.0,21.8,943.4,1.2,1.2,940.0,930.0,12.1,22.4,12.0,0.1
190711169,17,False,False,1.0,1.0,1.0,1.0,142.9,127.0,1.13,1794.1,14.1,1794.1,1.6,1.7,1267.0,1282.0,184.6,22.2,11.9,0.1
190711169,18,False,False,1.0,1.0,1.0,1.0,126.6,67.4,1.88,3686.2,54.7,3686.2,5.0,5.0,3834.0,3816.0,31.1,22.3,12.0,0.1
190711169,19,True,False,1.0,1.0,1.0,1.0,46.2,42.7,1.08,1502.1,35.2,1502.1,1.3,1.3,988.0,978.0,7.7,21.8,12.0,0.2
190711169,20,True,False,1.0,1.0,1.0,1.0,54.2,52.7,1.03,1608.1,30.5,1056.0,1.1,1.1,821.0,852.0,19.5,22.1,12.1,0.3
190711169,21,True,False,1.0,1.0,1.0,1.0,43.1,42.3,1.02,1357.3,32.1,1357.3,1.0,1.0,814.0,822.0,9.6,21.6,12.0,0.3
190711169,22,True,False,1.0,1.0,1.0,1.0,39.8,39.5,1.01,340.5,8.6,340.5,1.0,1.1,785.0,806.0,7.3,22.1,12.1,-0.1
190711169,23,True,False,1.0,1.0,1.0,1.0,41.0,39.7,1.03,293.4,7.4,293.4,1.1,1.2,878.0,883.0,6.9,22.1,12.1,-0.0
190711169,24,True,False,1.0,1.0,1.0,1.0,39.6,37.8,1.05,647.0,17.1,647.0,1.2,1.2,912.0,923.0,6.0,22.0,12.1,0.1
190711169,25,True,False,1.0,1.0,1.0,1.0,42.7,43.2,0.99,1157.0,26.8,298.6,1.0,0.9,733.0,726.0,14.3,22.0,12.1,0.1
190711169,26,False,False,1.0,1.0,1.0,1.0,55.9,55.6,1.01,1864.1,33.5,1864.1,1.0,1.0,744.0,731.0,36.6,22.0,12.1,0.1
190711169,27,True,False,1.0,1.0,1.0,1.0,43.9,43.4,1.01,1075.5,24.8,1075.5,1.0,1.0,803.0,790.0,5.5,22.0,12.0,0.1
190711169,28,True,False,1.0,1.0,1.0,1.0,45.4,42.3,1.07,899.7,21.3,899.7,1.3,1.4,1038.0,1055.0,5.6,21.9,12.0,0.0
190711169,29,True,False,1.0,1.0,1.0,1.0,47.2,33.0,1.43,1506.3,45.6,1506.3,3.1,3.2,2485.0,2529.0,3.1,21.4,12.0,0.2
190711169,30,True,False,1.0,1.0,1.0,1.0,31.8,31.3,1.02,790.4,25.2,158.7,1.1,1.1,849.0,899.0,6.5,21.2,11.9,0.3
190711169,31,True,False,1.0,1.0,1.0,1.0,33.8,33.7,1.0,1406.0,41.7,611.6,1.0,1.0,809.0,801.0,4.8,21.4,12.0,0.2
190711169,32,False,False,1.0,1.0,1.0,1.0,67.2,63.1,1.06,2992.9,47.4,2992.9,1.2,1.2,933.0,946.0,23.4,21.4,12.0,0.3
190711169,33,False,False,1.0,1.0,1.0,1.0,106.4,104.1,1.02,677.4,6.5,677.4,1.1,1.1,905.0,887.0,34.9,21.2,11.9,-0.0
190711169,34,True,False,1.0,1.0,1.0,1.0,48.0,47.0,1.02,1506.1,32.1,1506.1,1.1,1.1,835.0,837.0,7.0,21.9,11.9,0.4
190711169,35,True,False,1.0,1.0,1.0,1.0,38.4,38.5,1.0,582.7,15.1,582.7,1.0,1.0,803.0,785.0,8.7,21.2,11.9,0.1
190711169,36,True,False,1.0,1.0,1.0,1.0,37.1,35.2,1.05,1983.0,56.4,1983.0,1.1,1.1,890.0,864.0,8.5,21.3,12.1,0.1
190711169,37,False,False,1.0,1.0,1.0,1.0,56.6,56.3,1.01,1400.9,24.9,511.3,1.0,1.1,229.0,253.0,17.2,37.9,22.7,0.3
190711169,38,True,False,1.0,1.0,1.0,1.0,49.0,48.2,1.02,4863.7,100.9,854.3,1.1,1.1,768.0,768.0,7.1,22.4,12.5,0.5
190711169,39,False,False,1.0,1.0,1.0,1.0,124.3,84.1,1.48,17823.7,212.0,17823.7,1.9,2.0,1425.0,1440.0,57.5,22.0,12.6,0.7
190712041,0,True,False,1.0,1.0,1.0,1.0,30.4,29.5,1.03,455.6,15.4,205.1,1.1,1.1,1028.0,1019.0,4.8,17.9,12.8,1.5
190712041,1,True,False,1.0,1.0,1.0,1.0,44.1,44.1,1.0,604.9,13.7,385.7,1.0,1.0,890.0,894.0,5.8,18.0,12.6,1.8
190712041,2,False,False,1.0,1.0,1.0,1.0,65.3,65.4,1.0,632.9,9.7,582.7,1.0,1.0,883.0,877.0,10.3,18.1,12.7,0.7
190712041,3,True,False,1.0,1.0,1.0,1.0,30.8,30.8,1.0,440.2,14.3,440.2,1.0,1.0,862.0,877.0,6.2,18.2,12.6,0.1
190712041,4,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190712041,5,True,False,1.0,1.0,1.0,1.0,52.6,45.8,1.15,5064.4,110.7,311.1,1.8,1.8,1610.0,1605.0,5.7,18.2,12.6,0.6
190712041,6,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190712041,7,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190712041,8,True,False,1.0,1.0,1.0,1.0,42.1,42.0,1.0,229.5,5.5,189.5,1.0,1.0,891.0,850.0,5.3,18.3,12.8,-0.2
190712041,9,True,False,1.0,1.0,1.0,1.0,35.1,35.0,1.0,269.9,7.7,180.2,1.0,1.0,887.0,878.0,3.8,18.3,12.8,-0.1
190712041,10,True,False,1.0,1.0,1.0,1.0,36.8,36.2,1.02,403.2,11.1,304.0,1.1,1.1,950.0,922.0,6.6,18.4,12.8,-0.1
190712041,11,True,False,1.0,1.0,1.0,1.0,36.6,35.9,1.02,1323.1,36.9,384.8,1.1,1.0,941.0,889.0,5.1,18.4,12.8,0.3
190712041,12,False,False,1.0,1.0,1.0,1.0,72.7,63.0,1.15,28019.4,444.8,1334.8,1.9,1.7,1653.0,1533.0,13.3,18.1,12.7,0.5
190712041,13,False,False,1.0,1.0,1.0,1.0,180.5,133.3,1.35,40835.7,306.3,3636.4,2.6,2.4,2224.0,2072.0,12.8,18.5,12.7,0.6
190712041,14,False,False,1.0,1.0,1.0,1.0,103.8,103.0,1.01,5395.3,52.4,1356.1,1.1,1.0,923.0,875.0,9.9,18.5,12.7,0.9
190712041,15,True,False,1.0,1.0,1.0,1.0,38.6,38.0,1.02,494.3,13.0,494.3,1.0,1.1,912.0,929.0,5.8,18.3,12.8,-0.2
190712041,16,True,False,1.0,1.0,1.0,1.0,43.6,38.3,1.14,1864.7,48.6,1864.7,1.2,1.2,1085.0,1087.0,5.1,18.3,12.8,-0.4
190712041,17,False,False,1.0,1.0,1.0,1.0,62.7,59.6,1.05,934.9,15.7,749.7,1.3,1.2,1121.0,1074.0,11.1,18.3,12.7,-0.3
190712041,18,False,False,1.0,1.0,1.0,1.0,61.8,55.1,1.12,2464.5,44.7,295.3,1.7,1.6,1456.0,1440.0,6.3,18.3,12.7,-0.3
190712041,19,True,False,1.0,1.0,1.0,1.0,42.5,53.6,0.79,22136.3,412.6,452.3,0.3,0.3,272.0,276.0,3.5,18.0,12.6,0.2
190712041,20,True,False,1.0,1.0,1.0,1.0,57.4,59.6,0.96,13475.4,226.0,395.9,0.9,0.9,777.0,783.0,10.1,18.3,12.7,0.9
190712041,21,True,False,1.0,1.0,1.0,1.0,39.0,38.6,1.01,1152.8,29.9,677.8,1.0,1.0,941.0,924.0,7.0,17.8,12.7,-0.2
190712041,22,True,False,1.0,1.0,1.0,1.0,40.0,36.2,1.11,1655.3,45.7,1655.3,1.3,1.2,1129.0,1014.0,5.0,18.2,12.9,-0.2
190712041,23,True,False,1.0,1.0,1.0,1.0,41.1,36.8,1.12,2194.5,59.6,549.7,1.5,1.6,1325.0,1401.0,5.7,18.2,12.8,-0.3
190712041,24,True,False,1.0,1.0,1.0,1.0,34.7,34.6,1.0,716.4,20.7,223.1,1.0,1.0,871.0,906.0,7.2,18.2,12.8,0.1
190712041,25,True,False,1.0,1.0,1.0,1.0,35.6,35.7,1.0,2969.1,83.1,172.9,1.0,1.0,847.0,848.0,3.9,18.2,12.8,0.3
190712041,26,True,False,1.0,1.0,1.0,1.0,39.9,39.8,1.0,1574.7,39.5,262.1,1.0,1.0,873.0,897.0,5.6,18.2,12.8,0.3
190712041,27,True,False,1.0,1.0,1.0,1.0,39.7,39.5,1.01,359.8,9.1,359.8,1.0,1.0,921.0,883.0,5.1,18.1,12.8,-0.6
