taskid,beam,pass,s_in,s_out,rat,peak_mJy,peak_sig,rusc-,rusc+,D,N2,P2,Ex-2,Ex+2
190720041,28,False,124.1,63.1,1.97,349.6,5541.0,7.4,5.8,749.0,7.1,6.4,415.0,364.0
190720041,29,False,89.0,73.9,1.2,36.3,490.7,3.3,4.0,149.0,2.2,2.5,83.0,106.0
190720041,30,False,74.8,50.0,1.5,12.0,240.0,4.7,6.9,51.0,4.2,4.0,232.0,217.0
190720041,31,False,83.7,44.8,1.87,54.5,1216.1,5.2,6.0,234.0,6.6,6.2,403.0,378.0
190720041,32,False,238.5,145.7,1.64,80.6,553.3,4.9,4.9,113.0,5.0,5.1,284.0,289.0
190720041,33,False,227.2,79.7,2.85,45.0,563.9,8.6,8.7,66.0,10.6,10.4,687.0,674.0
190720041,34,False,175.9,79.6,2.21,1076.0,13522.4,7.9,6.7,1712.0,8.3,8.4,499.0,506.0
190720041,35,False,90.5,61.2,1.48,194.1,3170.0,5.0,5.1,634.0,4.5,4.5,242.0,241.0
190720041,36,False,83.9,57.4,1.46,21.0,366.6,4.7,4.5,78.0,4.4,4.3,234.0,226.0
190720041,37,False,92.6,60.1,1.54,113.7,1892.8,4.6,4.8,411.0,4.4,4.7,230.0,254.0
190720041,38,False,117.5,75.8,1.55,59.1,779.7,4.6,5.2,170.0,4.6,4.6,249.0,244.0
190720041,39,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190721041,0,False,61.9,47.3,1.31,26.7,563.0,4.2,5.0,134.0,2.8,3.0,187.0,209.0
190721041,1,False,24105.8,12350.3,1.95,3800.1,307.7,9.5,6.3,32.0,6.6,7.1,1893.0,2066.0
190721041,2,False,68.5,57.9,1.18,17.4,300.2,3.4,5.0,88.0,2.1,2.3,110.0,137.0
190721041,3,False,67.2,52.0,1.29,73.7,1416.7,4.1,5.2,346.0,2.9,3.0,192.0,208.0
190721041,4,False,64.4,45.2,1.42,12.5,276.9,4.3,4.8,64.0,3.7,3.9,277.0,297.0
190721041,5,True,42.3,36.1,1.17,19.4,539.1,5.4,5.9,100.0,2.1,2.2,341.0,392.0
190721041,6,False,86.9,65.6,1.32,68.0,1035.7,3.9,5.0,266.0,3.0,3.2,205.0,229.0
190721041,7,False,90.2,74.6,1.21,26.1,349.5,3.5,4.6,100.0,2.2,2.5,122.0,153.0
190721041,8,False,73.6,60.7,1.21,18.6,306.4,3.5,4.5,88.0,2.2,2.5,124.0,156.0
190721041,9,False,62.1,51.3,1.21,18.0,350.5,3.5,4.6,100.0,2.3,2.4,130.0,141.0
190721041,10,False,65.6,47.0,1.4,34.5,732.8,4.1,5.0,179.0,3.5,3.7,260.0,274.0
190721041,11,False,79.0,49.1,1.61,47.3,963.2,5.4,5.5,178.0,5.0,5.0,414.0,408.0
190721041,12,False,105.5,76.3,1.38,21.7,283.9,6.5,5.4,44.0,3.4,3.6,251.0,271.0
190721041,13,False,87.3,71.8,1.22,26.7,371.6,3.6,5.0,103.0,2.4,2.6,152.0,175.0
