taskid,beam,cont_pass,pol_pass,pol_V_pass,pol_QU_pass,HI_all_good,HI_all_good_ok,HI_c2_good_ok,HI_c2_good,HI_pass,all_pass,s_in,s_out,rat,N2,Ex-2,pol_s_in,pol_s_out,pol_rat,pol_N2,pol_Ex-2,pol_ftmax,pol_peak_in,pol_P2,pol_bmin,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,Field
190907041,29,True,False,True,False,False,False,False,False,False,False,48.0,44.4,1.08,1.5,173.0,44.5,44.2,1.01,1.0,939.0,3.8,455.7,1.0,15.5,1.0,1.0,0.08,0.08,S1342+6041
190907042,3,True,True,True,True,True,True,True,True,True,True,40.9,35.6,1.15,1.8,199.0,35.4,35.4,1.0,1.0,678.0,15.2,263.6,1.0,-0.5,0.08,0.08,0.08,0.08,M0155+3130
190907042,9,True,True,True,True,True,True,True,True,True,True,43.9,36.0,1.22,2.4,352.0,36.6,35.8,1.02,1.0,677.0,4.9,793.9,1.0,-0.9,0.08,0.08,0.08,0.08,M0155+3130
190907042,10,True,False,True,False,True,True,True,True,True,True,51.2,44.8,1.14,1.8,191.0,45.0,44.9,1.0,1.0,597.0,4.4,535.7,1.0,0.2,1.0,1.0,0.08,0.08,M0155+3130
190907042,27,True,True,True,True,False,True,True,True,False,True,51.8,43.7,1.19,2.1,291.0,44.6,44.3,1.01,1.0,692.0,4.9,551.6,1.0,0.3,0.08,0.08,0.08,0.08,M0155+3130
190907042,28,True,False,False,True,False,False,True,True,False,False,50.0,44.5,1.12,1.6,170.0,43.1,43.6,0.99,1.0,652.0,26.9,286.9,0.9,0.3,0.08,0.08,0.12,0.12,M0155+3130
190907042,29,True,False,True,False,False,False,True,True,False,False,55.1,48.1,1.14,1.7,185.0,49.1,48.3,1.02,1.1,668.0,4.6,989.4,1.1,0.2,1.0,1.0,0.08,0.12,M0155+3130
190908041,3,True,True,True,True,True,True,True,True,True,True,42.4,35.8,1.18,2.1,341.0,36.1,35.8,1.01,1.0,838.0,6.4,604.1,1.0,0.0,0.08,0.08,0.08,0.08,S2201+4340
190908041,10,True,False,True,False,True,True,True,True,True,True,49.4,44.7,1.1,1.6,167.0,44.9,44.8,1.0,1.0,752.0,5.7,647.7,1.0,-0.6,1.0,1.0,0.12,0.12,S2201+4340
190908041,25,True,True,True,True,False,False,False,False,False,True,50.6,44.1,1.15,1.8,256.0,44.1,44.1,1.0,1.0,818.0,5.3,207.5,1.0,-2.7,0.08,0.08,0.12,0.12,S2201+4340
190908041,27,True,False,False,True,False,True,True,True,False,True,57.9,48.3,1.2,2.2,372.0,50.2,49.8,1.01,1.0,842.0,33.6,542.6,1.0,1.2,0.08,0.08,0.12,0.12,S2201+4340
190908041,29,True,False,True,False,False,False,True,True,False,False,55.6,47.7,1.17,2.0,306.0,48.5,47.9,1.01,1.0,792.0,5.6,878.6,1.0,-1.6,1.0,1.0,0.12,0.12,S2201+4340
190908041,30,True,True,True,True,False,False,True,True,False,False,44.1,37.4,1.18,2.0,335.0,37.4,37.0,1.01,1.0,853.0,10.4,1004.1,1.0,-1.8,0.08,0.08,0.08,0.08,S2201+4340
190908041,31,True,True,True,True,True,True,True,True,True,False,47.1,40.3,1.17,1.9,296.0,40.8,40.2,1.02,1.0,848.0,18.8,686.5,1.0,-0.9,0.08,0.08,0.12,0.12,S2201+4340
190908041,36,True,True,True,True,False,False,False,False,False,False,42.9,36.8,1.17,2.0,310.0,36.3,36.4,1.0,1.0,828.0,13.8,402.2,1.0,0.1,0.08,0.08,0.08,0.08,S2201+4340
190913045,1,True,False,False,True,True,True,True,True,True,True,57.1,49.5,1.16,1.8,276.0,50.8,50.0,1.01,1.0,931.0,42.5,805.1,1.1,-3.4,0.08,0.08,0.12,0.12,M1403+5324
190913045,8,True,True,True,True,True,True,True,True,True,True,42.9,39.0,1.1,1.5,171.0,39.5,39.4,1.0,1.0,907.0,2.8,447.4,1.0,-2.7,0.08,0.08,0.08,0.08,M1403+5324
190913045,9,True,True,True,True,True,True,True,True,True,True,39.0,32.6,1.19,2.1,401.0,32.3,32.3,1.0,1.0,889.0,3.6,375.6,1.0,-3.0,0.08,0.08,0.08,0.08,M1403+5324
190913045,15,True,True,True,True,False,False,False,False,False,False,44.5,40.0,1.11,1.6,202.0,41.0,40.3,1.02,1.0,924.0,8.3,1197.7,1.0,-2.3,0.08,0.08,0.08,0.08,M1403+5324
