taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern,fluxcal,flux_first,flux_last,polcal,pol_first,pol_last,apercal_version,apercal_name
200111041,S2314+3848,348.658333,38.808889,2346789ABCD,41400,good,square_39p1,3C196,200111001,200111040,3C138,200111042,200112005,v2.5-298-g312934a,Bandpass phase flagging
200112006,S1404+6041,211.045833,60.6975,2346789ABCD,41400,good,square_39p1,3C196,200112008,200113039,3C138,200111042,200112005,v2.5-298-g312934a,Bandpass phase flagging
200112007,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1,3C196,200112008,200113039,3C138,200111042,200112005,v2.5-298-g312934a,Bandpass phase flagging
200113040,S2314+4606,348.504167,46.105,2346789ABCD,41400,good,square_39p1,3C196,200112008,200113039,3C138,200113041,200114003,v2.5-298-g312934a,Bandpass phase flagging
200122050,S1334+5058,203.7125,50.969167,23456789ABCD,41400,good,square_39p1,3C147,200122010,200122049,3C286,200124001,200124040,v2.5-298-g312934a,Bandpass phase flagging
200123001,S0214+4114,33.579167,41.240833,23456789ABCD,41400,good,square_39p1,3C147,200122010,200122049,3C286,200124001,200124040,v2.5-298-g312934a,Bandpass phase flagging
200124041,S2317+4340,349.254167,43.673056,23456789ABCD,41400,good,square_39p1,3C147,200124042,200124081,3C286,200124001,200124040,v2.5-298-g312934a,Bandpass phase flagging
200124082,S1426+6041,216.5,60.6975,23456789ABCD,41400,good,square_39p1,3C147,200124042,200124081,3C286,200126001,200126040,v2.5-298-g312934a,Bandpass phase flagging
200125001,S0218+4340,34.729167,43.673056,23456789ABCD,41400,good,square_39p1,3C147,200124042,200124081,3C286,200126001,200126040,v2.5-298-g312934a,Bandpass phase flagging
200126041,S2319+4114,349.941667,41.240833,23456789ABCD,41400,good,square_39p1,3C147,200126042,200126081,3C286,200126001,200126040,v2.5-298-g312934a,Bandpass phase flagging
200126082,S1428+5815,217.033333,58.265556,23456789ABCD,41400,good,square_39p1,3C147,None,None,0.0,None,None,v2.5-298-g312934a,Bandpass phase flagging
200128124,M1403+5324,210.85,53.401389,2346789ABCD,41400,good,square_39p1,3C147,200128084,200128123,3C286,200130001,200130040,v2.5-47-g724fc94,Bandpass phase flagging
200129001,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1,3C147,200128084,200128123,3C286,200130001,200130040,v2.5-298-g312934a,Bandpass phase flagging
200130106,S1448+5815,222.175,58.265556,2346789ABCD,41400,good,square_39p1,3C147,200130066,200130105,3C286,200201001,200201040,v2.5-298-g312934a,Bandpass phase flagging
200131001,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1,3C147,200130066,200130105,3C286,200201001,200201040,v2.5-298-g312934a,Bandpass phase flagging
200201046,S2328+3356,352.1625,33.944444,2346789ABCD,41400,good,square_39p1,3C147,200201047,200201086,3C286,200201001,200201040,v2.5-298-g312934a,Bandpass phase flagging
200201087,S1458+5324,224.520833,53.401389,2346789ABCD,41400,good,square_39p1,3C147,200201047,200201086,3C286,200203001,200203040,v2.5-298-g312934a,Bandpass phase flagging
200202001,S0222+3622,35.683333,36.376667,2346789ABCD,41400,good,square_39p1,3C147,200201047,200201086,3C286,200203001,200203040,v2.5-298-g312934a,Bandpass phase flagging
