ObsID,Name,Beam,RA,Dec,Pass,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190721041,S1426+5058,28,215.795927,51.577189,False,60.8,43.0,23.0,1.41,288.0,4.3
190721041,S1426+5058,29,216.539185,51.577189,False,79.1,57.5,22.1,1.37,269.0,4.2
190721041,S1426+5058,30,217.282444,51.577189,False,61.7,44.1,25.8,1.4,218.0,4.0
190721041,S1426+5058,31,218.025702,51.577189,False,62.2,45.8,23.5,1.36,235.0,4.1
190721041,S1426+5058,32,218.768961,51.577189,False,95.7,73.9,23.5,1.3,183.0,3.7
190721041,S1426+5058,33,214.681039,51.982537,False,102.9,78.9,22.2,1.3,218.0,4.1
190721041,S1426+5058,34,215.424298,51.982537,False,186.3,56.0,22.2,3.33,1288.0,9.7
190721041,S1426+5058,35,216.167556,51.982537,False,53.6,35.8,13.0,1.5,1083.0,8.4
190721041,S1426+5058,36,216.910815,51.982537,False,65.1,41.9,23.0,1.55,407.0,6.2
190721041,S1426+5058,37,217.654073,51.982537,False,62.0,50.1,23.0,1.24,174.0,4.3
190721041,S1426+5058,38,218.397332,51.982537,False,61.0,49.6,22.6,1.23,155.0,3.6
190721041,S1426+5058,39,219.140590,51.982537,False,149.0,96.3,29.8,1.55,232.0,4.7
