ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190908041,S2201+4340,36,330.465947,44.686426,42.9,36.8,11.9,1.17,310.0,4.3
190913045,M1403+5324,1,208.298547,52.388019,57.1,49.5,12.2,1.16,276.0,3.8
190913045,M1403+5324,8,208.691078,52.793367,42.9,39.0,12.2,1.1,171.0,3.6
190913045,M1403+5324,9,209.476141,52.793367,39.0,32.6,12.1,1.19,401.0,4.3
190913045,M1403+5324,15,209.083609,53.198715,44.5,40.0,12.1,1.11,202.0,3.7
190913045,M1403+5324,33,208.691078,54.414759,56.2,46.6,12.3,1.2,439.0,4.1
190913046,M0155+3130,1,27.044835,30.499130,53.9,48.5,10.9,1.11,160.0,3.6
190913046,M0155+3130,3,28.142885,30.499130,40.3,35.8,10.9,1.13,193.0,3.6
190913046,M0155+3130,6,29.789961,30.499130,51.5,43.3,11.1,1.19,317.0,4.2
190913046,M0155+3130,8,27.319347,30.904478,48.2,43.9,10.9,1.1,137.0,3.6
190913046,M0155+3130,9,27.868373,30.904478,42.3,35.0,11.0,1.21,348.0,5.0
190913046,M0155+3130,10,28.417398,30.904478,37.7,31.8,11.0,1.19,301.0,4.3
190913046,M0155+3130,11,28.966423,30.904478,38.1,32.8,11.1,1.16,234.0,3.8
190913046,M0155+3130,15,27.593860,31.309826,49.5,43.6,10.9,1.13,194.0,3.9
190913046,M0155+3130,21,27.319347,31.715174,55.8,46.8,10.9,1.19,308.0,4.4
190913046,M0155+3130,22,27.868373,31.715174,41.4,35.0,11.0,1.18,261.0,4.1
190913046,M0155+3130,23,28.417398,31.715174,36.5,30.1,11.0,1.21,338.0,5.2
190913046,M0155+3130,27,27.593860,32.120522,46.2,37.8,11.0,1.22,368.0,4.9
190913046,M0155+3130,28,28.142885,32.120522,38.3,34.0,11.2,1.13,195.0,3.6
190913046,M0155+3130,33,27.319347,32.525870,52.3,45.5,10.9,1.15,243.0,4.0
190913046,M0155+3130,34,27.868373,32.525870,45.6,39.1,11.0,1.17,250.0,4.4
190913046,M0155+3130,35,28.417398,32.525870,43.1,35.3,11.0,1.22,374.0,5.6
190913046,M0155+3130,37,29.515449,32.525870,44.5,36.5,11.1,1.22,352.0,4.8
190913046,M0155+3130,38,30.064474,32.525870,48.7,44.2,11.2,1.1,172.0,3.7
190914041,S2332+3130,1,351.365668,30.499130,55.7,47.5,11.1,1.17,271.0,4.4
190914041,S2332+3130,2,351.914693,30.499130,44.2,39.6,11.3,1.12,180.0,3.7
190914041,S2332+3130,3,352.463718,30.499130,41.8,34.9,11.2,1.2,304.0,4.6
190914041,S2332+3130,5,353.561769,30.499130,40.5,35.3,11.3,1.15,228.0,4.1
190914041,S2332+3130,8,351.640180,30.904478,49.3,40.5,11.2,1.22,342.0,5.3
190914041,S2332+3130,9,352.189206,30.904478,40.6,33.6,11.2,1.21,320.0,4.7
190914041,S2332+3130,10,352.738231,30.904478,34.7,30.4,11.2,1.14,201.0,3.7
190914041,S2332+3130,15,351.914693,31.309826,47.9,42.5,11.2,1.13,183.0,3.9
190914041,S2332+3130,16,352.463718,31.309826,35.4,32.1,11.3,1.11,152.0,3.5
190914041,S2332+3130,20,354.659820,31.309826,48.4,41.1,11.3,1.18,278.0,4.1
190914041,S2332+3130,21,351.640180,31.715174,49.9,43.2,11.3,1.16,221.0,3.9
190914041,S2332+3130,26,354.385307,31.715174,41.8,36.3,11.2,1.15,230.0,3.9
190914041,S2332+3130,30,353.561769,32.120522,40.1,33.1,11.2,1.21,368.0,5.0
190914041,S2332+3130,31,354.110794,32.120522,38.1,34.1,11.3,1.12,174.0,3.7
190914041,S2332+3130,34,352.189206,32.525870,46.4,38.5,11.4,1.2,330.0,4.7
190914041,S2332+3130,35,352.738231,32.525870,42.9,36.0,11.4,1.19,292.0,4.2
190914041,S2332+3130,36,353.287256,32.525870,40.1,34.5,11.5,1.16,248.0,4.2
190914041,S2332+3130,37,353.836282,32.525870,41.8,36.7,11.4,1.14,215.0,4.2
190914041,S2332+3130,38,354.385307,32.525870,54.9,50.8,11.2,1.08,106.0,3.5
190915041,S1435+5550,1,216.041338,54.819963,48.2,41.8,12.2,1.16,307.0,3.9
190915041,S1435+5550,4,218.541641,54.819963,34.4,29.7,12.2,1.16,347.0,4.4
190915041,S1435+5550,5,219.375076,54.819963,34.4,30.2,12.3,1.14,270.0,4.4
190915041,S1435+5550,8,216.458056,55.225311,42.4,38.4,12.1,1.1,221.0,4.3
190915041,S1435+5550,10,218.124924,55.225311,31.7,27.6,12.1,1.15,297.0,3.8
190915041,S1435+5550,14,221.458662,55.225311,56.0,47.7,11.9,1.17,389.0,4.7
190915041,S1435+5550,15,216.874773,55.630659,43.6,38.6,12.2,1.13,251.0,3.7
190915041,S1435+5550,16,217.708207,55.630659,32.6,28.4,12.1,1.14,285.0,3.9
190915041,S1435+5550,19,220.208510,55.630659,41.8,35.4,12.4,1.18,402.0,4.2
190915041,S1435+5550,21,216.458056,56.036007,45.7,39.6,12.4,1.15,336.0,4.6
190915041,S1435+5550,22,217.291490,56.036007,35.2,30.8,12.1,1.14,300.0,4.0
190915041,S1435+5550,23,218.124924,56.036007,31.6,28.2,12.1,1.12,244.0,3.7
190915041,S1435+5550,24,218.958359,56.036007,36.7,31.0,11.8,1.18,415.0,4.4
190915041,S1435+5550,26,220.625227,56.036007,39.1,33.5,12.0,1.17,344.0,4.6
190915041,S1435+5550,29,218.541641,56.441355,32.9,29.0,12.3,1.13,247.0,3.7
190915041,S1435+5550,30,219.375076,56.441355,34.9,30.6,12.1,1.14,285.0,3.9
190915041,S1435+5550,33,216.458056,56.846703,44.1,40.6,12.1,1.09,179.0,3.7
190915041,S1435+5550,35,218.124924,56.846703,36.0,32.4,12.4,1.11,211.0,3.9
190915041,S1435+5550,37,219.791793,56.846703,36.6,33.2,12.5,1.1,183.0,3.6
190915042,M0209+3622,1,30.364808,35.363297,47.3,42.9,11.4,1.1,159.0,3.6
190915042,M0209+3622,4,32.108832,35.363297,38.9,32.2,11.5,1.21,327.0,4.1
190915042,M0209+3622,5,32.690173,35.363297,38.0,33.0,11.4,1.15,264.0,3.9
190915042,M0209+3622,8,30.655478,35.768645,46.9,39.0,11.5,1.2,359.0,4.8
190915042,M0209+3622,10,31.818161,35.768645,35.0,29.0,11.4,1.21,360.0,5.8
190915042,M0209+3622,23,31.818161,36.579341,36.8,30.5,11.4,1.21,352.0,4.5
190915042,M0209+3622,24,32.399502,36.579341,43.0,35.3,11.1,1.22,359.0,4.0
190915042,M0209+3622,26,33.562185,36.579341,43.5,35.8,11.3,1.22,395.0,5.0
190915042,M0209+3622,30,32.690173,36.984689,37.0,32.5,11.3,1.14,210.0,3.7
190915042,M0209+3622,31,33.271514,36.984689,39.7,34.1,11.4,1.16,298.0,4.4
190915042,M0209+3622,33,30.655478,37.390037,49.3,43.8,11.4,1.12,229.0,3.9
190915042,M0209+3622,34,31.236820,37.390037,40.8,36.6,11.4,1.11,188.0,3.7
190915042,M0209+3622,35,31.818161,37.390037,39.1,35.2,11.7,1.11,140.0,3.5
190915042,M0209+3622,36,32.399502,37.390037,52.7,44.7,11.5,1.18,294.0,3.8
190915042,M0209+3622,37,32.980844,37.390037,41.6,36.9,11.6,1.13,212.0,3.9
