ObsID,Name,RA,Dec,Fluxcal,flux_first,flux_last,Polcal,pol_first,pol_last,Apercal_name,Apercal_version
200125001,S0218+4340,34.729167,43.673056,3C147,200124042,200124081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200126041,S2319+4114,349.941667,41.240833,3C147,200126042,200126081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200126082,S1428+5815,217.033333,58.265556,3C147,200126042,200126081,3C286,200126001,200126040,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
200128124,M1403+5324,210.850000,53.401389,3C147,200128084,200128123,3C286,200130001,200130040,Apercal_150_ACF_CDF_BPF,v2.5-47-g724fc94
200129001,M0209+3622,32.254167,36.376667,3C147,200128084,200128123,3C286,200130001,200130040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200130106,S1448+5815,222.175000,58.265556,3C147,200130066,200130105,3C286,200201001,200201040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200131001,M0209+3622,32.254167,36.376667,3C147,200130066,200130105,3C286,200201001,200201040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200201046,S2328+3356,352.162500,33.944444,3C147,200201047,200201086,3C286,200201001,200201040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200201087,S1458+5324,224.520833,53.401389,3C147,200201047,200201086,3C286,200203001,200203040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200202001,S0222+3622,35.683333,36.376667,3C147,200201047,200201086,3C286,200203001,200203040,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200225049,S1501+5058,225.400000,50.969167,3C147,200225009,200225048,3C286,200226002,200227034,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200226001,S0243+4114,40.850000,41.240833,3C147,200225009,200225048,3C286,200226002,200227034,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200227035,S2148+3622,327.112500,36.376667,3C147,200227036,200227075,3C286,200226002,200227034,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200227076,M1252+2904,193.037500,29.080278,3C147,200227036,200227075,3C286,200228002,200229033,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200228001,M0142+3130,25.583333,31.512500,3C147,200227036,200227075,3C286,200228002,200229033,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200229034,S2149+3848,327.483333,38.808889,3C147,200229035,200229074,3C286,200228002,200229033,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200229075,M1243+3130,190.991667,31.512500,3C147,200229035,200229074,3C286,200301002,200302032,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200301001,M0142+3130,25.583333,31.512500,3C147,200229035,200229074,3C286,200301002,200302032,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200302033,S2155+3356,328.829167,33.944444,3C147,200302034,200302073,3C286,200301002,200302032,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200302074,M1403+5324,210.850000,53.401389,3C147,200302034,200302073,3C286,200303002,200304031,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200303001,M0141+3356,25.495833,33.944444,3C147,200302034,200302073,3C286,200303002,200304031,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200304032,S2202+3622,330.541667,36.376667,3C147,200304033,200304072,3C286,200303002,200304031,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200305001,M0141+3622,25.400000,36.376667,3C147,200304033,200304072,3C286,200305002,200306030,Apercal_150_ACF_CDF_BPF,v2.5-311-g38cc852
200306031,S2201+3130,330.450000,31.512500,3C147,200306032,200306071,3C286,200305002,200306030,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200306072,M1248+3356,192.162500,33.944444,3C147,200306032,200306071,3C286,200307002,200308029,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200307001,M0141+3356,25.495833,33.944444,3C147,200306032,200306071,3C286,200307002,200308029,Apercal_150_ACF_CDF_BPF,v2.5-298-g312934a
200309042,S1042+5324,160.720833,53.401389,3C147,200309002,200309041,None,None,None,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200311126,S1448+3356,222.162500,33.944444,3C147,200311086,200311125,3C286,200312002,200313026,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200312001,S0249+4340,42.308333,43.673056,3C147,200311086,200311125,3C286,200312002,200313026,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200313027,S2208+3356,332.162500,33.944444,3C147,200313028,200313067,3C286,200312002,200313026,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200313068,M1256+3130,194.233333,31.512500,3C147,200313028,200313067,3C286,200314002,200315025,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
